eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode,Plot,Sampling Location
S1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,,,,South,South Stream
S1Stream,,Rock rubbing,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,,,,South,South Stream
S5Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,,,,South,South Stream
S4Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,,,,South,Marsh
S5Marsh,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,,,,South,Marsh
N3Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,,,,North,North Stream
S2Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,hydrophilidae,,,,,,,,South,South Stream
S3Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,,,,South,South Stream
S5Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,,,,South,South Stream
S1Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,,,,South,Marsh
S4Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,,,,South,Marsh
N1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,simuliidae,,,,,,,,North,North Stream
N2Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,dixidae,,,,,,,,North,North Stream
N3Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,simuliidae,,,,,,,,North,North Stream
N4Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,simuliidae,,,,,,,,North,North Stream
N4Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,dixidae,,,,,,,,North,North Stream
N5Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,simuliidae,,,,,,,,North,North Stream
