eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode,Plot ,Transect,Method
SLP2,,HumanObservation,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,,,,,Order,,,,South,Lower,Pitfall
SLP3,,HumanObservation,1,1,,present,,Animalia,Arthropoda,Arachnida,Araneae,,,,,Order,,,,South,Lower,Pitfall
SLP5,,HumanObservation,1,1,,present,,Animalia,Arthropoda,Arachnida,Araneae,,,,,,,,,South,Lower,Pitfall
SLP5,,HumanObservation,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,,,,,,,,,South,Lower,Pitfall
SLP5,,HumanObservation,1,1,,present,,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,,,Genus,,,,South,Lower,Pitfall
SLS2,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,,,,,,,,,South,Lower,Sweep-Netting
SLS2,,HumanObservation,2,2,individuals,present,Tipula oleracea,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Oleracea,,Species,Kayleigh,,,South,Lower,Sweep-Netting
SLS4,,HumanObservation,1,1,individuals,present,Tipula oleracea,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Oleracea,,Species,,,,South,Lower,Sweep-Netting
SLS4,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,,,,,,,,,South,Lower,Sweep-Netting
SLS4,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,,,,South,Lower,Sweep-Netting
SLS4,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,,,,,,,,South,Lower,Sweep-Netting
SLS4,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Lepidoptera,,,,,,,,,South,Lower,Sweep-Netting
SLS5,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,,,,,,,,,,South,Lower,Sweep-Netting
SLS6,,HumanObservation,1,1,individuals,present,,animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,,,,Beñat,,,South,Lower,Sweep-Netting
SLS6,,HumanObservation,2,2,individuals,present,,animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,,Beñat,,,South,Lower,Sweep-Netting
NLP1,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP1,,Human Observation,1,1,individuals,present,Arion rufus,Animalia,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,rufus,,Species,Hayward & Kevin,,,North,Lower,Pitfall
NLP2,,Human Observation,1,1,individuals,present,Arion rufus,Animalia,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,rufus,,Species,Hayward & Kevin,,,North,Lower,Pitfall
NLP2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP2,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP2,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP2,,Human Observation,1,1,individuals,present,Dicyrtoma fusca,Animalia,Arthropoda,Insecta,Symphypleona,Dicyrtomidae,Dicyrtoma,fusca,,Species,Hayward & Kevin,,,North,Lower,Pitfall
NLP3,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP3,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Hymenoptera,Myrmicinae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Diplopoda,Polydesmida,Macrosternodesmidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Diplopoda,Julida,Julidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Archaeognatha,Machilidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP5,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
NLP5,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,,,,Family,Hayward & Kevin,,,North,Lower,Pitfall
